video_id,comment_id,author,author_channel_url,like_count,published_at,updated_at,processed_text,channel,predicted_language,confidence_score
32kd-2DEHEk,UgyXwnQFw4YxxG_bHiF4AaABAg,@vaidykrishnan,http://www.youtube.com/@vaidykrishnan,0,2012-12-26 07:46:21+00:00,1970-01-01T00:00:00Z,Doesn't he look like Blake shelton?,Talks at Google,en,0.9106775522232056
aKVsaVBbGQ0,UgwUQFWOxcZ4a0ok2TJ4AaABAg,@LottLottie,http://www.youtube.com/@LottLottie,1,2012-12-31 07:15:08+00:00,1970-01-01T00:00:00Z,I remember him being on Leno for being the Jeopardy champion. Hehehe!!,Talks at Google,en,0.9044895768165588
aKVsaVBbGQ0,UgyO-_xBciHiHO25vjV4AaABAg,@TheMumsonamission,http://www.youtube.com/@TheMumsonamission,1,2012-12-26 08:30:14+00:00,1970-01-01T00:00:00Z,Ken - Loved this Talk - We are a working in our Pyjamas too - Its our Whole Mission,Talks at Google,en,0.9775928854942322
aKVsaVBbGQ0,UgyzWrYNl30BoF875p54AaABAg,@frother,http://www.youtube.com/@frother,2,2012-12-21 17:46:01+00:00,1970-01-01T00:00:00Z,This is a fantastic talk/Q&A. It should have way more views,Talks at Google,en,0.9925018548965454
aKVsaVBbGQ0,Ugx9o9LPNfa1VKNoOc54AaABAg,@laineyzosa,http://www.youtube.com/@laineyzosa,10,2012-12-21 01:37:03+00:00,1970-01-01T00:00:00Z,"Depending on your employer, software engineers can work at home in their pajamas.",Talks at Google,en,0.923028528690338
UnZlyouz9s8,UgwhDPq4hGzz8vRblt94AaABAg,@DelDeVries,http://www.youtube.com/@DelDeVries,0,2012-12-29 15:14:00+00:00,1970-01-01T00:00:00Z,Excellent summary of key concepts and techniques.,Talks at Google,en,0.9933276176452636
UnZlyouz9s8,UgzxUJy-jMgXbj-whGN4AaABAg,@teefinyomouf,http://www.youtube.com/@teefinyomouf,0,2012-12-20 21:14:44+00:00,1970-01-01T00:00:00Z,sup google,Talks at Google,sw,0.9332486391067504
-HpBHWUPa8Q,UgyhHuanJ0YUlibkik94AaABAg,@RonRawson1,http://www.youtube.com/@RonRawson1,0,2012-12-30 23:13:30+00:00,1970-01-01T00:00:00Z,"Schmidt is a douchebag! He's old fat and his coat didn't fit..Nice Colbert keep it going!
",Talks at Google,en,0.9938806295394896
-HpBHWUPa8Q,Ugyf9WJ6iMjk5aHwUAN4AaABAg,@HaveYouSeenMyGardens,http://www.youtube.com/@HaveYouSeenMyGardens,0,2012-12-30 09:40:06+00:00,1970-01-01T00:00:00Z,"Seriously I love the fact that Colbert called out Schmidt on his bullshit interviewing several times, Colbert is one class act!",Talks at Google,en,0.956659972667694
-HpBHWUPa8Q,Ugz4D9riDWCAQPrdHqN4AaABAg,@TheJosephPrice,http://www.youtube.com/@TheJosephPrice,0,2012-12-29 23:51:23+00:00,1970-01-01T00:00:00Z,"Former CEO, he is the Chairman now.",Talks at Google,en,0.9256986379623412
-HpBHWUPa8Q,UgwFkCdTxPPBN9LD9oF4AaABAg,@TheJosephPrice,http://www.youtube.com/@TheJosephPrice,0,2012-12-29 23:51:08+00:00,1970-01-01T00:00:00Z,"That has to do with your connection, not the video itself.",Talks at Google,en,0.9933109283447266
-HpBHWUPa8Q,UgyVUCjtFaEvmQpwHJd4AaABAg,@squishylime,http://www.youtube.com/@squishylime,0,2012-12-29 23:25:49+00:00,1970-01-01T00:00:00Z,"Schmidt must have insisted on being the interviewer when he heard Colbert was appearing, cause the guy has no interviewing skills.

He derailed the conversation constantly. You want to know how to do an interview like this look at Charlie Rose or Brian Lamb. You ask a question, then get out of the way and let the guest talk. And when they stop you ask another question based either on something they said or the next point on the list. It's really simple.",Talks at Google,en,0.9827955365180968
-HpBHWUPa8Q,Ugy6wU6lhvCIafJNQEV4AaABAg,@jowuit3346,http://www.youtube.com/@jowuit3346,0,2012-12-29 22:59:18+00:00,1970-01-01T00:00:00Z,Can't watch this interview without very frequent breaks for buffering. Please make it available for purchase or for free on Google Play ASAP.,Talks at Google,en,0.9935575127601624
-HpBHWUPa8Q,UgytQksIVcSyE92kl0V4AaABAg,@tensazol,http://www.youtube.com/@tensazol,0,2012-12-28 00:33:59+00:00,1970-01-01T00:00:00Z,What is the quote?,Talks at Google,en,0.9682190418243408
-HpBHWUPa8Q,UgwL16dddwjJJTBzxz14AaABAg,@knicksnyhouston,http://www.youtube.com/@knicksnyhouston,0,2012-12-26 17:39:18+00:00,1970-01-01T00:00:00Z,The interviewer is obviously filled with his own self-importance.,Talks at Google,en,0.9712339639663696
-HpBHWUPa8Q,Ugz2_BsbTBpln8FOjit4AaABAg,@knicksnyhouston,http://www.youtube.com/@knicksnyhouston,0,2012-12-26 03:37:31+00:00,1970-01-01T00:00:00Z,"Wow, that just made me lose all faith in Google with that pompous ""titular figurehead"".",Talks at Google,en,0.9812409281730652
-HpBHWUPa8Q,UgzNZepunEPIG2eAfyl4AaABAg,@iwpoe,http://www.youtube.com/@iwpoe,0,2012-12-25 00:00:17+00:00,1970-01-01T00:00:00Z,"Anselm, who was later reused by Descartes.",Talks at Google,en,0.91596120595932
-HpBHWUPa8Q,UgzRw6rgA8EIfWaSPBx4AaABAg,@greggh,http://www.youtube.com/@greggh,0,2012-12-24 01:02:04+00:00,1970-01-01T00:00:00Z,"""Google can be anything you want it to be. Because it's a reflection of your own desires. It's a porthole to what you want it to be. And unless you guys are putting some restrictors on the information that I think I'm getting, then it is anything that we want it to be, because it's an actuator, or it's a pathway to what we want, rather than the thing we want itself."" 30:00

This is good advice. Google should take it, and stop these new restrictors on how we can view our YouTube subscriptions.",Talks at Google,en,0.9628376960754396
-HpBHWUPa8Q,UgyijE8OwN8r-qtZUU14AaABAg,@greggh,http://www.youtube.com/@greggh,0,2012-12-24 00:32:26+00:00,1970-01-01T00:00:00Z,"If they ever do a biopic on Robert Culp, Stephen has got to play the part. I wonder if he's a fan.",Talks at Google,en,0.9421420097351074
